===========================================
Window			| Team Member
===========================================
Login init		| Abdulellah
Login Input		| Fahad
Main			| Abdulellah
Rename Album		| Fahad
Open Album		| Abdulellah
Delete Album		| Fahad
Create Album		| Abdulellah
Search 			| Fahad
Search by Keys		| Abdulellah
Search by Range		| Fahad
Display Photo		| Abdulellah
Caption/Recaption	| Fahad
Move			| Abdulellah
Copy			| Fahad
Add			| Abdulellah
Delete Photo		| Fahad
Previous		| Abdulellah
Next			| Fahad
Logout			| Fahad & Abdulellah
